,date,country,gold,silver,bronze,total
0,2016-08-06,Afghanistan,0.0,0.0,0.0,0.0
1,2016-08-07,Afghanistan,0,0.0,0.0,0.0
2,2016-08-08,Afghanistan,0,0.0,0.0,0.0
3,2016-08-09,Afghanistan,0,0.0,0.0,0.0
4,2016-08-10,Afghanistan,0,0.0,0.0,0.0
5,2016-08-11,Afghanistan,0,0.0,0.0,0.0
6,2016-08-12,Afghanistan,0,0.0,0.0,0.0
7,2016-08-13,Afghanistan,0,0.0,0.0,0.0
8,2016-08-14,Afghanistan,0,0.0,0.0,0.0
9,2016-08-15,Afghanistan,0,0.0,0.0,0.0
10,2016-08-16,Afghanistan,0,0.0,0.0,0.0
11,2016-08-17,Afghanistan,0,0.0,0.0,0.0
12,2016-08-18,Afghanistan,0,0.0,0.0,0.0
13,2016-08-19,Afghanistan,0,0.0,0.0,0.0
14,2016-08-20,Afghanistan,0,0.0,0.0,0.0
15,2016-08-21,Afghanistan,0,0.0,0.0,0.0
16,2016-08-06,Albania,0.0,0.0,0.0,0.0
17,2016-08-07,Albania,0,0.0,0.0,0.0
18,2016-08-08,Albania,0,0.0,0.0,0.0
19,2016-08-09,Albania,0,0.0,0.0,0.0
20,2016-08-10,Albania,0,0.0,0.0,0.0
21,2016-08-11,Albania,0,0.0,0.0,0.0
22,2016-08-12,Albania,0,0.0,0.0,0.0
23,2016-08-13,Albania,0,0.0,0.0,0.0
24,2016-08-14,Albania,0,0.0,0.0,0.0
25,2016-08-15,Albania,0,0.0,0.0,0.0
26,2016-08-16,Albania,0,0.0,0.0,0.0
27,2016-08-17,Albania,0,0.0,0.0,0.0
28,2016-08-18,Albania,0,0.0,0.0,0.0
29,2016-08-19,Albania,0,0.0,0.0,0.0
30,2016-08-20,Albania,0,0.0,0.0,0.0
31,2016-08-21,Albania,0,0.0,0.0,0.0
32,2016-08-06,Algeria,0.0,0.0,0.0,0.0
33,2016-08-07,Algeria,0,0.0,0.0,0.0
34,2016-08-08,Algeria,0,0.0,0.0,0.0
35,2016-08-09,Algeria,0,0.0,0.0,0.0
36,2016-08-10,Algeria,0,0.0,0.0,0.0
37,2016-08-11,Algeria,0,0.0,0.0,0.0
38,2016-08-12,Algeria,0,0.0,0.0,0.0
39,2016-08-13,Algeria,0,0.0,0.0,0.0
40,2016-08-14,Algeria,0,0.0,0.0,0.0
41,2016-08-15,Algeria,0,1.0,0.0,1.0
42,2016-08-16,Algeria,0,1.0,0.0,1.0
43,2016-08-17,Algeria,0,1.0,0.0,1.0
44,2016-08-18,Algeria,0,1.0,0.0,1.0
45,2016-08-19,Algeria,0,1.0,0.0,1.0
46,2016-08-20,Algeria,0,2.0,0.0,2.0
47,2016-08-21,Algeria,0,2.0,0.0,2.0
48,2016-08-06,American Samoa,0.0,0.0,0.0,0.0
49,2016-08-07,American Samoa,0,0.0,0.0,0.0
